<MP-CMI-NE>dis int des
PHY: Physical
*down: administratively down
^down: standby
(l): loopback
(s): spoofing
(E): E-Trunk down
(b): BFD down
(B): Bit-error-detection down
(e): ETHOAM down
(d): Dampening Suppressed
(p): port alarm down
(ld): loop-detect trigger down
Interface                     PHY     Protocol Description                     
VE4/0/0.100                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILL0500127
VE4/0/0.101                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151129
VE4/0/0.102                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILLI500035
VE4/0/0.103                   up      up       INTERNAL-FULLMESH-SPOKE-1035-IPVI500082
VE4/0/0.104                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151129
VE4/0/0.105                   down    down                                     
VE4/0/0.106                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500137
VE4/0/0.107                   *down   down     EXTERNAL-FULLMESH-SPOKE-3BB-LL-ILLI500036-Seed-Temp
VE4/0/0.108                   up      up       EXTERNAL-FULLMESH-SPOKE-600042-IPVB0500083
VE4/0/0.109                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500526
VE4/0/0.110                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INL0500145
VE4/0/0.111                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IPV1151123
VE4/0/0.112                   up      up       EXTERNAL-FULLMESH-SPOKE-3BB-LL-INLI500040
VE4/0/0.113                   up      up       EXTERNAL-FULLMESH-SPOKE-610061-IAD1151123
VE4/0/0.118                   up      up       EXTERNAL-FULLMESH-SPOKE-600265-IPV0500165
